track name,artists names,artists ids,track popularity,artist ids,track id,release date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,duration_ms,time_signature,follow,pop,num artist
Alive - Acoustic Version,['Sick Individuals'],['0XqFDQJjqW5PfhfBCb53LR'],27,['0XqFDQJjqW5PfhfBCb53LR'],1eh4iPma8RQsu6sjKrMZ8p,2017-01-09,0.553,0.405,6,-4.104,0,0.0286,0.864,0,0.0897,0.219,128.0,audio_features,1eh4iPma8RQsu6sjKrMZ8p,170742,4,175023,60,1
Embrace - Lowland Classical Remix,"['Armin van Buuren', 'Eric Vloeimans', 'Lowland']","['0SfsnGyD8FpIN4U4WCkBZ5', '0GJnVOotvnAmZvUYL8Kpmx', '66Ee0sf2IZJNUJ4talSAte']",23,"['0SfsnGyD8FpIN4U4WCkBZ5', '0GJnVOotvnAmZvUYL8Kpmx', '66Ee0sf2IZJNUJ4talSAte']",7B6aUliCHEhaWDaUBZGWqj,2016-05-19,0.177,0.226,6,-20.31,0,0.0395,0.801,0.945,0.0776,0.131,134.119,audio_features,7B6aUliCHEhaWDaUBZGWqj,340000,4,4061395,145,3
Shivers - Acoustic Version,['John Dahlbäck'],['15xvsJMf8phaNa1LYvL9Qv'],26,['15xvsJMf8phaNa1LYvL9Qv'],7pp1dAz4SXWz052k2idxTn,2016-08-22,0.49,0.366,2,-8.707,1,0.0263,0.441,0,0.155,0.186,98.108,audio_features,7pp1dAz4SXWz052k2idxTn,198986,4,114439,50,1
Old Friend - Live Acoustic,['Elderbrook'],['2vf4pRsEY6LpL5tKmqWb64'],38,['2vf4pRsEY6LpL5tKmqWb64'],1b9eTPaaSnacG9EAblx8r5,2019-03-15,0.489,0.375,9,-11.374,0,0.151,0.537,2.84e-05,0.101,0.275,105.016,audio_features,1b9eTPaaSnacG9EAblx8r5,172756,4,262860,72,1
King - Acoustic,['Years & Years'],['5vBSrE1xujD2FXYRarbAXc'],43,['5vBSrE1xujD2FXYRarbAXc'],46iMzIoVmlfuorWb6ixZKm,2015-06-22,0.444,0.183,2,-8.759,1,0.0406,0.955,1.9e-06,0.107,0.294,90.638,audio_features,46iMzIoVmlfuorWb6ixZKm,243573,4,1822582,76,1
Happier - Stripped,"['Marshmello', 'Bastille']","['64KEffDW9EtZ1y2vBYgq8T', '7EQ0qTo7fWT7DPxmxtSYEc']",48,"['64KEffDW9EtZ1y2vBYgq8T', '7EQ0qTo7fWT7DPxmxtSYEc']",2FkQbpFk34QN97I3OHmfaA,2018-11-09,0.629,0.308,5,-10.382,1,0.0339,0.744,0.000821,0.198,0.153,94.147,audio_features,2FkQbpFk34QN97I3OHmfaA,250507,4,38017001,167,2
End Of The World - Acoustic Mix,"['KAAZE', 'Jonathan Mendelsohn']","['6WGE3kO8ULME2ErBcOksSR', '5d1oOpLkM76Tgr2zWMTYkm']",32,"['6WGE3kO8ULME2ErBcOksSR', '5d1oOpLkM76Tgr2zWMTYkm']",1BYKL9apyfXUvGm5Ni4d9C,2018-01-08,0.31,0.324,4,-6.981,0,0.033,0.871,0,0.319,0.192,104.68,audio_features,1BYKL9apyfXUvGm5Ni4d9C,151875,3,171253,119,2
Perfect Strangers - Acoustic,"['Jonas Blue', 'JP Cooper']","['1HBjj22wzbscIZ9sEb5dyf', '4kYGAK2zu9EAomwj3hXkXy']",0,"['1HBjj22wzbscIZ9sEb5dyf', '4kYGAK2zu9EAomwj3hXkXy']",10g2KYRNWnxFLfjIqMTRyV,2016-07-15,0.68,0.674,0,-4.179,1,0.0388,0.71,0,0.106,0.599,117.667,audio_features,10g2KYRNWnxFLfjIqMTRyV,191206,4,4196779,155,2
Synchronize (Acoustic),"['Hellberg', 'Aaron Richards']","['1kgxTtyF91VaqLD3J6Krd5', '635Ty89ihpkpWMkLQ7dlsp']",0,"['1kgxTtyF91VaqLD3J6Krd5', '635Ty89ihpkpWMkLQ7dlsp']",2DeeIhuocnnAfwVMaN2tP1,2016-08-11,0.693,0.555,9,-5.004,1,0.0458,0.642,0,0.0849,0.176,125.927,audio_features,2DeeIhuocnnAfwVMaN2tP1,228095,4,57951,109,2
Another Chance - Don Diablo Chill Mix,"['Big Pineapple', 'Don Diablo']","['364ge6OLf1AsRisexSjfJN', '1l2ekx5skC4gJH8djERwh1']",0,"['364ge6OLf1AsRisexSjfJN', '1l2ekx5skC4gJH8djERwh1']",7HZqD8EWEBQrklzLf3oQer,2018-10-01,0.533,0.38,9,-11.542,0,0.039,0.935,0.295,0.116,0.0385,115.026,audio_features,7HZqD8EWEBQrklzLf3oQer,217043,4,1780085,105,2
Where You Are - Acoustic Version,"['John Dahlbäck', 'Lovestarrs']","['15xvsJMf8phaNa1LYvL9Qv', '7t85rUnih4eoMKvtg1kt7C']",26,"['15xvsJMf8phaNa1LYvL9Qv', '7t85rUnih4eoMKvtg1kt7C']",72RpvmZyTHqRWJHEi6d3i4,2016-08-22,0.46,0.301,7,-11.146,1,0.031,0.56,0,0.125,0.0445,120.01,audio_features,72RpvmZyTHqRWJHEi6d3i4,209025,4,115425,64,2
