track name,artists names,artists ids,track popularity,artist ids,track id,release date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,duration_ms,time_signature,follow,pop,num artist,genre
Black Ball,"['YoungBoy Never Broke Again', 'Birdman']","['7wlFDEWiM5OoIAt8RSli8b', '35sCXuy5gN6Or69rZ9vqBs']",79,"['7wlFDEWiM5OoIAt8RSli8b', '35sCXuy5gN6Or69rZ9vqBs']",1tmsPlyvzDETLv08Wp5cuY,2021-12-10,0.773,0.608,1,-6.117,0,0.223,0.616,0,0.0966,0.475,79.002,audio_features,1tmsPlyvzDETLv08Wp5cuY,189852,4,9260914,160,2,hiphop
Anti-Hero (feat. Lil Tecca),"['Lil Wayne', 'Lil Tecca']","['55Aa2cqylxrFIXC767Z865', '4Ga1P7PMIsmqEZqhYZQgDo']",71,"['55Aa2cqylxrFIXC767Z865', '4Ga1P7PMIsmqEZqhYZQgDo']",5HZ5NjyJVMaboBgG6uQMpK,2022-01-14,0.776,0.574,11,-7.061,0,0.234,0.0986,0,0.254,0.611,129.04,audio_features,5HZ5NjyJVMaboBgG6uQMpK,192757,4,16458383,173,2,hiphop
Sky,['Playboi Carti'],['699OTQXzgjhIYAHMy9RyPD'],88,['699OTQXzgjhIYAHMy9RyPD'],29TPjc8wxfz4XMn21O7VsZ,2020-12-25,0.785,0.903,2,-4.184,1,0.21,0.258,0,0.169,0.565,139.98,audio_features,29TPjc8wxfz4XMn21O7VsZ,193234,4,6089170,88,1,hiphop
Rockstar In His Prime,['Juice WRLD'],['4MCBfE4596Uoi2O4DtmEMz'],76,['4MCBfE4596Uoi2O4DtmEMz'],0v36cov6Z6aEV5ZgIlqZMk,2021-12-10,0.685,0.729,7,-8.694,0,0.15,0.415,0,0.196,0.382,170.025,audio_features,0v36cov6Z6aEV5ZgIlqZMk,180750,4,22508685,95,1,hiphop
Proud,"['Paper Route EMPIRE', 'Key Glock']","['65smG2lgnRmrDB8g7z1hG0', '0RESbWvOMyua0yuyVrztJ5']",73,"['65smG2lgnRmrDB8g7z1hG0', '0RESbWvOMyua0yuyVrztJ5']",6yOM87h9akcg1iYT5p66Av,2022-01-18,0.904,0.733,11,-7.036,0,0.301,0.0951,0,0.136,0.519,145.012,audio_features,6yOM87h9akcg1iYT5p66Av,184040,4,1120845,145,2,hiphop
Flossin’ (feat. YoungBoy Never Broke Again),"['Internet Money', 'YoungBoy Never Broke Again']","['6MPCFvOQv5cIGfw3jODMF0', '7wlFDEWiM5OoIAt8RSli8b']",77,"['6MPCFvOQv5cIGfw3jODMF0', '7wlFDEWiM5OoIAt8RSli8b']",3zDMTxEANpj6hedyCrHXBg,2022-01-20,0.713,0.57,2,-8.126,1,0.113,0.0425,0,0.131,0.155,159.99,audio_features,3zDMTxEANpj6hedyCrHXBg,168000,4,8912627,168,2,hiphop
Cold Gangsta,"['Yo Gotti', '42 Dugg', 'EST Gee']","['6Ha4aES39QiVjR0L2lwuwq', '45gHcnDnMC15sgx3VL7ROG', '4FlG0V0jhLO4qGpayFOphj']",68,"['6Ha4aES39QiVjR0L2lwuwq', '45gHcnDnMC15sgx3VL7ROG', '4FlG0V0jhLO4qGpayFOphj']",2bxvKs7Q0zqFqajnRcgxbv,2022-02-03,0.848,0.533,11,-8.79,1,0.282,0.0123,0,0.18,0.648,132.442,audio_features,2bxvKs7Q0zqFqajnRcgxbv,211569,4,4361865,225,3,hiphop
Diet Coke,['Pusha T'],['0ONHkAv9pCAFxb0zJwDNTy'],76,['0ONHkAv9pCAFxb0zJwDNTy'],3BMG9dnjNymT1OGUXQTAXl,2022-02-08,0.69,0.949,10,-3.13,0,0.379,0.124,0,0.0429,0.757,163.954,audio_features,3BMG9dnjNymT1OGUXQTAXl,179534,4,2285699,77,1,hiphop
Young N Dumb,['Polo G'],['6AgTAQt8XS6jRWi4sX7w49'],75,['6AgTAQt8XS6jRWi4sX7w49'],4dZTNKRngStyYNueXCO2FR,2021-12-03,0.465,0.729,3,-6.93,0,0.237,0.0072,0,0.139,0.606,95.001,audio_features,4dZTNKRngStyYNueXCO2FR,172394,5,6781134,91,1,hiphop
Arya (feat. A$AP Rocky),"['Nigo', 'A$AP Rocky']","['2rAnv6brcXaglLZBB4XXEn', '13ubrt8QOOCPljQ2FL1Kca']",79,"['2rAnv6brcXaglLZBB4XXEn', '13ubrt8QOOCPljQ2FL1Kca']",0Rq6JJwpZ9f1SU6Cfhgjv7,2022-01-28,0.958,0.478,7,-7.669,1,0.192,0.0823,0,0.126,0.379,120.042,audio_features,0Rq6JJwpZ9f1SU6Cfhgjv7,162254,4,10698050,153,2,hiphop
THE REV3NGE,['Joey Bada$$'],['2P5sC9cVZDToPxyomzF1UH'],75,['2P5sC9cVZDToPxyomzF1UH'],2qvc0vB4AAW39DR9j6vXa1,2022-01-14,0.665,0.846,8,-3.874,1,0.0686,0.0205,0,0.157,0.44,130.946,audio_features,2qvc0vB4AAW39DR9j6vXa1,147213,4,2476087,77,1,hiphop
Johnny P's Caddy,"['Benny The Butcher', 'J. Cole']","['5Matrg5du62bXwer29cU5T', '6l3HvQ5sa6mXTsMTB19rO5']",79,"['5Matrg5du62bXwer29cU5T', '6l3HvQ5sa6mXTsMTB19rO5']",6AshXllQhobwSXsdpgp41w,2022-01-28,0.535,0.819,8,-6.792,1,0.455,0.584,0,0.16,0.581,150.451,audio_features,6AshXllQhobwSXsdpgp41w,225000,4,16122380,162,2,hiphop
Cold December,['Rod Wave'],['45TgXXqMDdF8BkjA83OM7z'],78,['45TgXXqMDdF8BkjA83OM7z'],6UAy9xYeTWjZB7h05p83e9,2022-01-17,0.646,0.533,11,-10.461,1,0.118,0.0589,1.75e-06,0.269,0.249,169.913,audio_features,6UAy9xYeTWjZB7h05p83e9,192022,4,2886428,82,1,hiphop
